N,dim,T_0,k,num_iter,rng,batch_size,dtype,time,loss
22080,81,8,256,1,42,256,FP64,0.7897276878356934,567.5489783714092
22080,81,8,256,1,42,256,FP64,0.7998015880584717,567.5489783714092
22080,81,8,256,2,42,256,FP32,0.8654799461364746,418.9924621582031
22080,81,8,256,2,42,256,FP32,0.8583381175994873,418.9924621582031
22080,81,8,256,2,42,256,FP32,0.84285569190979,418.9924621582031
22080,81,8,256,2,42,256,FP32,0.8500649929046631,418.9924621582031
22080,81,8,256,2,42,256,FP32,0.8435444831848145,418.9924621582031
22080,81,8,256,2,42,256,FP64,1.5903091430664062,420.4571099379542
22080,81,8,256,2,42,256,FP64,1.598961591720581,420.4571099379542
22080,81,8,256,2,42,256,FP64,1.5633924007415771,420.4571099379542
22080,81,8,256,2,42,256,FP64,1.5849735736846924,420.4571099379542
22080,81,8,256,2,42,256,FP64,1.569650650024414,420.4571099379542
22080,81,8,256,4,42,256,FP32,1.7085599899291992,367.28289794921875
22080,81,8,256,4,42,256,FP32,1.6952648162841797,367.28289794921875
22080,81,8,256,4,42,256,FP32,1.6750397682189941,367.28289794921875
22080,81,8,256,4,42,256,FP32,1.7118470668792725,367.28289794921875
22080,81,8,256,4,42,256,FP32,1.734100341796875,367.28289794921875
22080,81,8,256,4,42,256,FP64,3.182241916656494,374.51446636523104
22080,81,8,256,4,42,256,FP64,3.0799906253814697,374.51446636523104
22080,81,8,256,4,42,256,FP64,3.0625853538513184,374.51446636523104
22080,81,8,256,4,42,256,FP64,3.086489200592041,374.51446636523104
22080,81,8,256,4,42,256,FP64,3.0974483489990234,374.51446636523104
22080,81,8,512,1,42,256,FP32,0.43972206115722656,554.5840454101562
22080,81,8,512,1,42,256,FP32,0.4344162940979004,554.5840454101562
22080,81,8,512,1,42,256,FP32,0.43035316467285156,554.5840454101562
22080,81,8,512,1,42,256,FP32,0.4339160919189453,554.5840454101562
22080,81,8,512,1,42,256,FP32,0.4467484951019287,554.5840454101562
22080,81,8,512,1,42,256,FP64,0.8418467044830322,567.5489783714092
22080,81,8,512,1,42,256,FP64,0.8298053741455078,567.5489783714092
22080,81,8,512,1,42,256,FP64,0.8051509857177734,567.5489783714092
22080,81,8,512,1,42,256,FP64,0.8106276988983154,567.5489783714092
22080,81,8,512,1,42,256,FP64,0.7973358631134033,567.5489783714092
22080,81,8,512,2,42,256,FP32,0.8438904285430908,418.9924621582031
22080,81,8,512,2,42,256,FP32,0.8687279224395752,418.9924621582031
22080,81,8,512,2,42,256,FP32,0.8675572872161865,418.9924621582031
22080,81,8,512,2,42,256,FP32,0.8755569458007812,418.9924621582031
22080,81,8,512,2,42,256,FP32,0.8415725231170654,418.9924621582031
22080,81,8,512,2,42,256,FP64,1.6233458518981934,420.4571099379542
22080,81,8,512,2,42,256,FP64,1.7215776443481445,420.4571099379542
22080,81,8,512,2,42,256,FP64,1.5949931144714355,420.4571099379542
22080,81,8,512,2,42,256,FP64,1.8765459060668945,420.4571099379542
22080,81,8,512,2,42,256,FP64,1.715174913406372,420.4571099379542
22080,81,8,512,4,42,256,FP32,1.7658970355987549,367.28289794921875
22080,81,8,512,4,42,256,FP32,1.7284018993377686,367.28289794921875
22080,81,8,512,4,42,256,FP32,1.7046351432800293,367.28289794921875
22080,81,8,512,4,42,256,FP32,1.871802568435669,367.28289794921875
22080,81,8,512,4,42,256,FP32,1.8159263134002686,367.28289794921875
22080,81,8,512,4,42,256,FP64,3.2320945262908936,374.51446636523104
22080,81,8,512,4,42,256,FP64,3.147446870803833,374.51446636523104
22080,81,8,512,4,42,256,FP64,3.1360795497894287,374.51446636523104
22080,81,8,512,4,42,256,FP64,3.1521244049072266,374.51446636523104
22080,81,8,512,4,42,256,FP64,3.1383004188537598,374.51446636523104
22080,81,16,64,1,42,256,FP32,0.9387898445129395,454.5277404785156
22080,81,16,64,1,42,256,FP32,0.9626309871673584,454.5277404785156
